gene,d5_mean,d14_mean,d28_mean
Crat,59.45786409,64.90348667,65.02107513
Cadm1,65.09278642,64.74384433,63.10602832
Tmed3,199.0007676,236.3400849,177.9979862
0,63.16853329,66.88478137,64.04124187
B3galt5,65.00321436,58.95978658,56.84406929
G0s2,63.81119269,68.91600218,63.47930014
0,63.0736927,62.52626739,64.2951832
Fam107a,71.13105843,71.29096918,70.8203053
0,67.01099874,62.96132716,69.73623928
Cib2,61.79324915,61.83122759,62.04374921
0,56.42241867,58.57307497,56.35165468
Sult2b1,58.94363945,57.162956,55.99795032
0,75.85527473,77.45795083,81.297867
0,68.83136522,71.27897179,72.93671608
Asrgl1,87.98413014,113.4070765,118.2405758
0,70.59705427,72.06298942,71.71243278
0,117.6558742,127.5373466,119.9542706
0,62.77124527,65.97958866,64.14547169
0,59.39104815,60.16052335,58.23258053
Wnt5b,61.49887745,62.53350235,60.73171072
Tmem189,107.7411362,113.4605227,115.6353314
Gstp1,66.31600564,68.34889857,73.07476409
0,173.2857409,175.2345162,155.1157242
Letm1,59.10736295,55.94146315,59.59955352
Acbd4,61.21504985,65.51465211,62.36228074
0,86.51923551,91.58409725,84.08269312
Stard13,65.32803309,66.42177582,63.60389743
0,67.11237688,65.78771326,68.20032889
Wdfy1,1071.014485,1419.214827,1138.739216
Clpx,60.2812967,60.84680583,59.65669462
Abcb4,70.12980338,73.91454374,65.90113226
0,63.84827022,64.81333764,63.81431984
Marveld1,1432.389006,1380.429277,1391.546038
Mtx1,1893.280563,1660.550307,1368.288476
0,284.7929635,459.9495803,461.6651957
Hip1,60.67124485,59.7249151,59.61897056
Veph1,53.81240305,52.09264071,53.74816326
Tmem97,94.26473582,122.1935985,105.8752324
Enpp3,69.90091455,60.70715803,61.20037348
Vash2,59.59772901,55.12949869,58.86156503
Hsp90ab1,75.51468534,72.42733313,69.36287899
0,57.6915956,54.81265733,60.0709345
Nadk,59.88713332,62.6219585,61.37009092
Ier5,1889.153692,1410.617307,1294.957488
Inhbb,61.53377213,60.43971388,60.23850672
Gcnt2,67.0277239,65.95404549,64.39600151
Serpina11,52.13453235,59.3368429,66.55773542
0,58.81341339,60.32590536,61.56773849
0,84.84493189,78.21978304,82.66244876
